nr,chimpanzee,date,session,counterbalance,trial,trial.2,condition,first.evidence,first.evidence.side,second.evidence,second.evidence.side,first.choice,third.evidence,third.evidence.side,"second,choice",belief.revision,,,,,,,,,,,,,
2,pasa,20.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
2,pasa,20.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
2,pasa,20.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,right,right,no,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,right,right,no,,,,,,,,,,,,,
3,yoyo,20.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
3,yoyo,21.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
4,namukisa,20.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
4,namukisa,21.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
5,nakuu,20.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,right,NA,NA,NA,NA,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
5,nakuu,21.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
6,umugenzi,20.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,right,NA,NA,NA,NA,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
6,umugenzi,21.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
7,kidogo,20.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,s,NA,NA,NA,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
8,okech,21.05.2024,1,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
8,okech,22.05.2024,2,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
