nr,chimpanzee,date,session,counterbalance,trial,domain,condition,first.evidence,first.evidence.side,second.evidence,second.evidence.side,first.choice,third.evidence,third.evidence.side,second.choice,food.received,belief.revision,
6,kalema,06.06.2024,2,defeater_first,F,auditory,filler,auditory_shake,right,NA,NA,right,NA,NA,NA,yes,NA,
6,kalema,06.06.2024,2,defeater_first,5,auditory,non-defeater,visual_trace,right,auditory_shake,left,left,auditory_non_defeater,left,left,yes,no,
6,kalema,06.06.2024,2,defeater_first,6,auditory,non-defeater,visual_trace,left,auditory_shake,right,right,auditory_non_defeater,right,left,no,yes,
6,kalema,06.06.2024,2,defeater_first,F,auditory,filler,auditory_shake,left,NA,NA,left,NA,NA,NA,yes,NA,
6,kalema,06.06.2024,2,defeater_first,7,auditory,non-defeater,visual_trace,left,auditory_shake,right,right,auditory_non_defeater,right,right,yes,no,
6,kalema,06.06.2024,2,defeater_first,8,auditory,non-defeater,visual_trace,right,auditory_shake,left,left,auditory_non_defeater,left,right,no,yes,
7,asega,05.06.2024,1,defeater_first,F,visual,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,yes,NA,
7,asega,05.06.2024,1,defeater_first,1,visual,defeater,auditory_shake,right,blurry_visual,left,left,visual_defeater,left,right,yes,yes,
7,asega,05.06.2024,1,defeater_first,2,visual,defeater,auditory_shake,left,blurry_visual,right,right,visual_defeater,right,right,no,no,
7,asega,05.06.2024,1,defeater_first,F,visual,filler,blurry_visual,right,NA,NA,right,NA,NA,NA,yes,NA,
7,asega,05.06.2024,1,defeater_first,3,visual,defeater,auditory_shake,right,blurry_visual,left,left,visual_defeater,left,right,yes,yes,
7,asega,05.06.2024,1,defeater_first,4,visual,defeater,auditory_shake,left,blurry_visual,right,right,visual_defeater,right,left,yes,yes,
7,asega,08.06.2024,1,defeater_first,F,visual,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,yes,NA,
7,asega,08.06.2024,1,defeater_first,5,visual,non-defeater,blurry_visual,right,blurry_visual,left,left,visual_non_defeater,left,right,no,yes,
7,asega,08.06.2024,1,defeater_first,6,visual,non-defeater,auditory_shake,left,blurry_visual,right,right,visual_non_defeater,right,left,no,yes,
7,asega,08.06.2024,1,defeater_first,F,visual,filler,blurry_visual,right,NA,NA,right,NA,NA,NA,yes,NA,
7,asega,08.06.2024,1,defeater_first,7,visual,non-defeater,auditory_shake,left,blurry_visual,right,right,visual_non_defeater,right,left,no,yes,
7,asega,08.06.2024,1,defeater_first,8,visual,non-defeater,auditory_shake,right,blurry_visual,left,left,visual_non_defeater,left,left,yes,no,
7,asega,10.06.2024,2,non_defeater_first,F,auditory,filler,auditory_shake,right,NA,NA,right,NA,NA,NA,yes,NA,
7,asega,10.06.2024,2,non_defeater_first,1,auditory,non-defeater,visual_trace,right,auditory_shake,left,left,auditory_non_defeater,left,right,no,yes,
7,asega,10.06.2024,2,non_defeater_first,2,auditory,non-defeater,visual_trace,left,auditory_shake,right,right,auditory_non_defeater,right,left,no,yes,
7,asega,10.06.2024,2,non_defeater_first,F,auditory,filler,auditory_shake,right,NA,NA,right,NA,NA,NA,yes,NA,
7,asega,10.06.2024,2,non_defeater_first,3,auditory,non-defeater,visual_trace,left,auditory_shake,right,right,auditory_non_defeater,right,left,no,yes,
